PERSON_ID,PERSON_TYPE,CRASH_DATE,CITY,ZIPCODE,SEX,AGE,AIRBAG_DEPLOYED,INJURY_CLASSIFICATION,HOSPITAL,DRIVER_ACTION,Hour,Day,WeekDay,Month
O1203596,2,10/12/2021 9:38,CHICAGO,60618,M,51,NOT APPLICABLE,NO INDICATION OF INJURY,NO INJURY REPORTED,UNKNOWN,9,12,1,10
O1203649,2,10/12/2021 10:35,CHICAGO,60652,M,71,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,10,12,1,10
O1203645,2,10/12/2021 10:45,CHICAGO,60623,M,47,NOT APPLICABLE,NONINCAPACITATING INJURY,LORETTO,NONE,10,12,1,10
O1203731,2,10/12/2021 13:15,CHICAGO,60642,F,23,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MEDICAL,NONE,13,12,1,10
O1203763,2,10/12/2021 13:37,CHICAGO,60617,M,91,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,UNIVERSITY OF CHICAGO,OTHER,13,12,1,10
O1203733,2,10/12/2021 13:45,CHICAGO,60639,M,19,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,COMMUNITY FIRST,FAILED TO YIELD,13,12,1,10
O1203768,2,10/12/2021 14:55,CHICAGO,60644,F,32,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,14,12,1,10
O1203874,2,10/12/2021 15:50,CHICAGO,60625,M,59,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,15,12,1,10
O1203875,2,10/12/2021 15:50,CHICAGO,60625,F,37,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,15,12,1,10
O1203830,2,10/12/2021 16:00,CHICAGO,60644,M,21,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",WEST SUB,UNKNOWN,16,12,1,10
O1203903,2,10/12/2021 16:50,CHICAGO,60609,M,58,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,16,12,1,10
O1205275,2,10/12/2021 17:00,CHICAGO,60628,F,17,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,ROSELAND HOSPITAL,FAILED TO YIELD,17,12,1,10
O1208744,2,10/12/2021 17:10,CHICAGO,60649,M,36,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",JACKSON PARK HOSPITAL,NONE,17,12,1,10
O1203956,2,10/12/2021 18:10,CHICAGO,60625,M,72,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSE/ON SCENE,UNKNOWN,18,12,1,10
O1203983,4,10/12/2021 18:15,CHICAGO,60632,M,47,NOT APPLICABLE,"REPORTED, NOT EVIDENT",REFUSED,NONE,18,12,1,10
O1203998,2,10/12/2021 18:55,CHICAGO,60623,F,27,NOT APPLICABLE,NO INDICATION OF INJURY,DENIED,NONE,18,12,1,10
O1204020,2,10/12/2021 19:03,CHICAGO,60615,M,24,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,UNIVERSITY OF CHICAGO,NONE,19,12,1,10
O1204041,2,10/12/2021 19:35,CHICAGO,60628,F,39,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,UOC,NONE,19,12,1,10
O1204481,2,10/12/2021 19:35,CHICAGO,60657,F,32,NOT APPLICABLE,NONINCAPACITATING INJURY,NORTHWESTERN,OTHER,19,12,1,10
O1204049,2,10/12/2021 19:43,CHICAGO,60644,F,25,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,19,12,1,10
O1204076,2,10/12/2021 19:52,CHICAGO,60619,F,40,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,19,12,1,10
O1204098,2,10/12/2021 20:15,CHICAGO,60652,M,27,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,20,12,1,10
O1205350,2,10/12/2021 20:44,CHICAGO,60629,F,43,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,HOLY CROSS,NONE,20,12,1,10
O1204093,2,10/12/2021 20:51,CHICAGO,60639,M,29,DID NOT DEPLOY,INCAPACITATING INJURY,COMMUNITY FIRST,UNKNOWN,20,12,1,10
O1204105,2,10/12/2021 21:45,CHICAGO,60647,F,21,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",SWEDISH,UNKNOWN,21,12,1,10
O1204129,2,10/12/2021 23:20,CHICAGO,60619,M,87,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,ST. BERNARD'S HOSPITAL,OTHER,23,12,1,10
O1204151,2,10/13/2021 0:49,CHICAGO,60623,F,53,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",ST. ANTHONY,NONE,0,13,2,10
O1204235,2,10/13/2021 7:45,CHICAGO,60651,M,42,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,7,13,2,10
O1204287,2,10/13/2021 7:53,CHICAGO,60624,M,28,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,IMPROPER TURN,7,13,2,10
O1204188,2,10/13/2021 8:00,CHICAGO,60637,F,29,DID NOT DEPLOY,NO INDICATION OF INJURY,LORETTO,DISREGARDED CONTROL DEVICES,8,13,2,10
O1204246,2,10/13/2021 8:15,CHICAGO,60621,M,38,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",UNIVERSITY OF CHICAGO,FAILED TO YIELD,8,13,2,10
O1204281,2,10/13/2021 8:18,CHICAGO,60647,F,27,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,UNKNOWN,8,13,2,10
O1204604,2,10/13/2021 8:45,CHICAGO,60629,M,34,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,IMPROPER LANE CHANGE,8,13,2,10
O1204250,2,10/13/2021 9:00,CHICAGO,60629,F,33,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,9,13,2,10
O1204251,2,10/13/2021 9:00,CHICAGO,60632,M,40,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,9,13,2,10
O1204262,2,10/13/2021 9:20,CHICAGO,60634,M,69,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,UNKNOWN-NO KNOWN INJURY,OTHER,9,13,2,10
O1204278,2,10/13/2021 9:20,CHICAGO,60609,M,51,NOT APPLICABLE,NO INDICATION OF INJURY,NO INJURY REPORTED,NONE,9,13,2,10
O1204291,2,10/13/2021 9:35,CHICAGO,60639,F,18,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,REFUSED,UNKNOWN,9,13,2,10
O1204292,2,10/13/2021 9:35,CHICAGO,60623,M,70,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,9,13,2,10
O1204370,2,10/13/2021 9:41,CHICAGO,60608,M,37,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,REFUSED,NONE,9,13,2,10
O1204371,2,10/13/2021 9:41,CHICAGO,60628,F,15,DEPLOYMENT UNKNOWN,INCAPACITATING INJURY,REFUSED,NONE,9,13,2,10
O1204275,2,10/13/2021 9:50,CHICAGO,60633,M,61,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,NONE,9,13,2,10
O1204354,2,10/13/2021 10:28,CHICAGO,6064 1,M,72,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,10,13,2,10
O1204313,2,10/13/2021 10:45,CHICAGO,60609,M,31,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,10,13,2,10
O1204344,2,10/13/2021 10:55,CHICAGO,60659,M,56,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,REFUSED ON SCENE,NONE,10,13,2,10
O1204343,2,10/13/2021 10:55,CHICAGO,60618,M,50,DID NOT DEPLOY,NONINCAPACITATING INJURY,ILLINOIS MASONIC HOSPITAL,FAILED TO YIELD,10,13,2,10
O1204375,2,10/13/2021 11:00,CHICAGO,60615,F,49,NOT APPLICABLE,NO INDICATION OF INJURY,REFDUSED,UNKNOWN,11,13,2,10
O1204397,2,10/13/2021 12:30,CHICAGO,60652,F,45,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,NONE,12,13,2,10
O1204473,2,10/13/2021 12:30,CHICAGO,60649,F,49,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,ROSELAND,OTHER,12,13,2,10
O1204478,2,10/13/2021 12:48,CHICAGO,60607,F,41,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,12,13,2,10
O1204455,2,10/13/2021 13:00,CHICAGO,60609,M,42,DID NOT DEPLOY,NO INDICATION OF INJURY,UNIVERSITY OF ILLINOIS,OTHER,13,13,2,10
O1205130,2,10/13/2021 15:15,CHICAGO,60628,M,29,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,IMPROPER TURN,15,13,2,10
O1204688,2,10/13/2021 15:25,CHICAGO,60629,F,47,DID NOT DEPLOY,NONINCAPACITATING INJURY,STROGER (COOK COUNTY),UNKNOWN,15,13,2,10
O1204492,2,10/13/2021 15:26,CHICAGO,60620,F,44,NOT APPLICABLE,NONINCAPACITATING INJURY,SAINT BERNARD HOSPITAL,NONE,15,13,2,10
O1204538,2,10/13/2021 16:20,CHICAGO,60637,F,28,DID NOT DEPLOY,NO INDICATION OF INJURY,DECLINED,FOLLOWED TOO CLOSELY,16,13,2,10
O1204539,2,10/13/2021 16:20,CHICAGO,60638,F,25,NOT APPLICABLE,NO INDICATION OF INJURY,DECLINED,NONE,16,13,2,10
O1204619,2,10/13/2021 16:22,CHICAGO,60618,M,32,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,16,13,2,10
O1204593,2,10/13/2021 16:45,CHICAGO,60609,M,53,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,TOO FAST FOR CONDITIONS,16,13,2,10
O1204607,2,10/13/2021 17:15,CHICAGO,60647,M,26,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,17,13,2,10
O1204742,2,10/13/2021 17:20,CHICAGO,60614,M,55,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,IMPROPER PASSING,17,13,2,10
O1204729,2,10/13/2021 17:30,CHICAGO,60636,M,34,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,REFUSED,IMPROPER TURN,17,13,2,10
O1204730,2,10/13/2021 17:30,CHICAGO,60617,F,45,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,ST BERNARD HOSPITAL,NONE,17,13,2,10
O1205092,2,10/13/2021 17:45,CHICAGO,60653,F,29,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,IMPROPER PASSING,17,13,2,10
O1204763,2,10/13/2021 18:04,CHICAGO,60619,F,32,NOT APPLICABLE,NONINCAPACITATING INJURY,LORETTO HOSPITAL,NONE,18,13,2,10
O1204785,2,10/13/2021 19:55,CHICAGO,60642,F,30,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,NONE,19,13,2,10
O1204795,2,10/13/2021 21:20,CHICAGO,60612,F,49,"DEPLOYED OTHER (KNEE, AIR, BELT, ETC.)",INCAPACITATING INJURY,MT. SINAI HOSPITAL,FOLLOWED TOO CLOSELY,21,13,2,10
O1204804,2,10/13/2021 21:23,CHICAGO,60632,M,20,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,21,13,2,10
O1204824,2,10/13/2021 22:00,CHICAGO,60651,F,23,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,DNA,UNKNOWN,22,13,2,10
O1204832,2,10/13/2021 23:10,CHICAGO,60623,F,39,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,NONE,23,13,2,10
O1204833,2,10/13/2021 23:10,CHICAGO,60651,F,19,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,23,13,2,10
O1204815,2,10/13/2021 23:20,CHICAGO,60612,M,35,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,FOLLOWED TOO CLOSELY,23,13,2,10
O1204855,2,10/14/2021 3:50,CHICAGO,60630,M,39,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,WESTSUB,NONE,3,14,3,10
O1204849,2,10/14/2021 3:57,CHICAGO,60634,F,25,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,REFUSED,OTHER,3,14,3,10
O1204933,2,10/14/2021 7:35,CHICAGO,60609,F,33,DID NOT DEPLOY,NONINCAPACITATING INJURY,RUSH HOSPITAL,FAILED TO YIELD,7,14,3,10
O1204934,2,10/14/2021 7:35,CHICAGO,60608,F,21,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,7,14,3,10
O1204924,2,10/14/2021 7:50,CHICAGO,60639,F,51,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,7,14,3,10
O1205231,2,10/14/2021 8:30,CHICAGO,60629,F,24,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,8,14,3,10
O1204983,2,10/14/2021 8:48,CHICAGO,60609,F,20,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,8,14,3,10
O1204967,2,10/14/2021 8:56,CHICAGO,60610,F,31,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,NORTHWESTERN MEMORIAL,NONE,8,14,3,10
O1205017,2,10/14/2021 10:00,CHICAGO,60609,F,30,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,UNKNOWN,10,14,3,10
O1205055,2,10/14/2021 10:13,CHICAGO,60645,F,59,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,OTHER,10,14,3,10
O1205341,2,10/14/2021 11:25,CHICAGO,60622,M,38,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MED ATTN,NONE,11,14,3,10
O1205138,2,10/14/2021 14:30,CHICAGO,60621,F,33,"DEPLOYED, FRONT",NO INDICATION OF INJURY,ST. BERNARDS,NONE,14,14,3,10
O1220913,2,10/14/2021 14:30,CHICAGO,60629,F,18,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",REFUSED,NONE,14,14,3,10
O1205196,2,10/14/2021 14:35,CHICAGO,60623,F,27,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,FOLLOWED TOO CLOSELY,14,14,3,10
O1205197,2,10/14/2021 14:35,CHICAGO,60653,F,26,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,FOLLOWED TOO CLOSELY,14,14,3,10
O1205200,2,10/14/2021 15:00,CHICAGO,60636,M,0,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,15,14,3,10
O1205201,2,10/14/2021 15:00,CHICAGO,60652,F,34,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,15,14,3,10
O1205215,2,10/14/2021 15:06,CHICAGO,60628,M,19,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",JACKSON PARK HOSPITAL,NONE,15,14,3,10
O1205368,2,10/14/2021 15:18,CHICAGO,60605,F,48,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,IMPROPER PARKING,15,14,3,10
O1205210,2,10/14/2021 15:22,CHICAGO,60652,F,23,DID NOT DEPLOY,NO INDICATION OF INJURY,DECLINED EMS,UNKNOWN,15,14,3,10
O1205211,2,10/14/2021 15:22,CHICAGO,60617,F,43,DID NOT DEPLOY,NO INDICATION OF INJURY,DECLINED EMS,UNKNOWN,15,14,3,10
O1205332,2,10/14/2021 15:40,CHICAGO,60639,F,32,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,COMMUNITY FIRST,UNKNOWN,15,14,3,10
O1205256,2,10/14/2021 16:39,CHICAGO,60626,M,18,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,16,14,3,10
O1205355,2,10/14/2021 17:09,CHICAGO,60680,F,63,DID NOT DEPLOY,NO INDICATION OF INJURY,DECLINED EMS,NONE,17,14,3,10
O1205315,2,10/14/2021 17:18,CHICAGO,60644,F,25,DID NOT DEPLOY,NO INDICATION OF INJURY,DECLINED,FAILED TO YIELD,17,14,3,10
O1205316,2,10/14/2021 17:18,CHICAGO,60651,M,20,DID NOT DEPLOY,NONINCAPACITATING INJURY,WEST SUBURBAN,NONE,17,14,3,10
O1205428,2,10/14/2021 17:40,CHICAGO,60620,M,55,NOT APPLICABLE,NO INDICATION OF INJURY,SOUTH SHORE,UNKNOWN,17,14,3,10
O1205396,2,10/14/2021 17:45,CHICAGO,60632,F,29,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,17,14,3,10
O1205361,2,10/14/2021 18:13,CHICAGO,60628,F,19,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,ROSELAND,UNKNOWN,18,14,3,10
O1205401,2,10/14/2021 18:18,CHICAGO,60624,M,28,DID NOT DEPLOY,NONINCAPACITATING INJURY,STROGER,UNKNOWN,18,14,3,10
O1205451,2,10/14/2021 19:26,CHICAGO,60630,M,30,DID NOT DEPLOY,NO INDICATION OF INJURY,DECLINED,NONE,19,14,3,10
O1205480,2,10/14/2021 20:00,CHICAGO,60632,F,29,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FOLLOWED TOO CLOSELY,20,14,3,10
O1205481,2,10/14/2021 20:00,CHICAGO,60632,F,27,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,20,14,3,10
O1205452,2,10/14/2021 20:45,CHICAGO,60623,M,35,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,MT. SINAI,WRONG WAY/SIDE,20,14,3,10
O1205482,2,10/14/2021 22:23,CHICAGO,60608,M,30,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,UIC HOSPITAL,IMPROPER TURN,22,14,3,10
O1205508,2,10/14/2021 23:00,CHICAGO,60637,F,25,"DEPLOYED, FRONT",INCAPACITATING INJURY,ST BERARD,DISREGARDED CONTROL DEVICES,23,14,3,10
O1205511,2,10/15/2021 0:10,CHICAGO,60643,M,23,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,TRINITY HOSPITAL,UNKNOWN,0,15,4,10
O1205539,2,10/15/2021 2:18,CHICAGO,60608,M,34,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,NORTHWESTERN HOSPITAL,UNKNOWN,2,15,4,10
O1205540,2,10/15/2021 2:18,CHICAGO,60653,M,46,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",NORTHWESTERN,UNKNOWN,2,15,4,10
O1205532,2,10/15/2021 2:45,CHICAGO,60612,F,52,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",COMMUNITY FIRST MEDICAL CENTER,DISREGARDED CONTROL DEVICES,2,15,4,10
O1205535,2,10/15/2021 3:10,CHICAGO,60620,M,32,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,REFUSED,DISREGARDED CONTROL DEVICES,3,15,4,10
O1205536,2,10/15/2021 3:10,CHICAGO,60612,M,21,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,REFUSED,NONE,3,15,4,10
O1206169,2,10/15/2021 5:34,CHICAGO,60652,F,30,"DEPLOYED, FRONT",NO INDICATION OF INJURY,MOUNT SINAI,UNKNOWN,5,15,4,10
O1205602,2,10/15/2021 7:45,CHICAGO,60651,F,24,DID NOT DEPLOY,NO INDICATION OF INJURY,EMS REFUSED,IMPROPER PASSING,7,15,4,10
O1205603,2,10/15/2021 7:45,CHICAGO,60651,F,20,DID NOT DEPLOY,NO INDICATION OF INJURY,EMS REFUSED,NONE,7,15,4,10
O1205589,2,10/15/2021 8:00,CHICAGO,60652,M,42,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,OTHER,8,15,4,10
O1205623,2,10/15/2021 8:00,CHICAGO,60629,M,19,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,MT SINAI,NONE,8,15,4,10
O1205679,2,10/15/2021 8:29,CHICAGO,60644,F,21,"DEPLOYED, FRONT",NO INDICATION OF INJURY,ST. BERNARD,DISREGARDED CONTROL DEVICES,8,15,4,10
O1205625,2,10/15/2021 9:00,CHICAGO,60638,M,60,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,NONE,9,15,4,10
O1205632,2,10/15/2021 9:19,CHICAGO,60626,M,35,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,IMPROPER TURN,9,15,4,10
O1205633,2,10/15/2021 9:19,CHICAGO,60644,F,53,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,NONE,9,15,4,10
O1205688,2,10/15/2021 10:05,CHICAGO,60619,F,33,NOT APPLICABLE,NONINCAPACITATING INJURY,TRINITY,NONE,10,15,4,10
O1205720,2,10/15/2021 12:20,CHICAGO,60641,M,75,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,12,15,4,10
O1205721,2,10/15/2021 12:20,CHICAGO,60641,F,37,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,UNKNOWN,12,15,4,10
O1205717,2,10/15/2021 12:25,CHICAGO,60611,F,35,NOT APPLICABLE,NO INDICATION OF INJURY,DECLINED,FAILED TO YIELD,12,15,4,10
O1205728,2,10/15/2021 12:50,CHICAGO,60623,M,61,NOT APPLICABLE,NO INDICATION OF INJURY,NONE,NONE,12,15,4,10
O1206315,2,10/15/2021 12:50,CHICAGO,60612,F,29,DEPLOYMENT UNKNOWN,"REPORTED, NOT EVIDENT",MOUNT SINAI,NONE,12,15,4,10
O1205982,2,10/15/2021 13:00,CHICAGO,60639,M,45,NOT APPLICABLE,NONINCAPACITATING INJURY,NORWEGIAN HOSPITAL,OTHER,13,15,4,10
O1205768,2,10/15/2021 13:08,CHICAGO,60620,F,55,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,13,15,4,10
O1205962,2,10/15/2021 13:50,CHICAGO,60616,M,31,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",COOK COUNTY HOSPITAL,FAILED TO YIELD,13,15,4,10
O1205963,2,10/15/2021 13:50,CHICAGO,60644,F,23,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,13,15,4,10
O1206318,2,10/15/2021 13:51,CHICAGO,60656,M,55,"DEPLOYED, FRONT",INCAPACITATING INJURY,MT SIANI,NONE,13,15,4,10
O1206324,2,10/15/2021 14:02,CHICAGO,60641,F,18,"DEPLOYED, FRONT",NO INDICATION OF INJURY,DECLINED EMS ON SCENE,DISREGARDED CONTROL DEVICES,14,15,4,10
O1205958,2,10/15/2021 14:45,CHICAGO,60625,F,33,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,IMPROPER PASSING,14,15,4,10
O1205959,2,10/15/2021 14:45,CHICAGO,60644,F,69,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,14,15,4,10
O1205979,2,10/15/2021 14:55,CHICAGO,60623,M,26,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,MT SINAI,DISREGARDED CONTROL DEVICES,14,15,4,10
O1205980,2,10/15/2021 14:55,CHICAGO,60634,M,20,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,NONE,14,15,4,10
O1205981,2,10/15/2021 14:55,CHICAGO,60651,M,28,DEPLOYMENT UNKNOWN,"REPORTED, NOT EVIDENT",REFUSED,NONE,14,15,4,10
O1205865,2,10/15/2021 15:15,CHICAGO,60657,M,35,NOT APPLICABLE,NO INDICATION OF INJURY,NONE,UNKNOWN,15,15,4,10
O1205866,2,10/15/2021 15:15,CHICAGO,60609,M,31,NOT APPLICABLE,NO INDICATION OF INJURY,UNK,UNKNOWN,15,15,4,10
O1206003,2,10/15/2021 16:00,CHICAGO,60624,M,29,DID NOT DEPLOY,NONINCAPACITATING INJURY,NORWEIGEN,FAILED TO YIELD,16,15,4,10
O1206077,2,10/15/2021 16:15,CHICAGO,60629,F,49,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED MEDICAL TREATMENT,FAILED TO YIELD,16,15,4,10
O1205928,2,10/15/2021 16:15,CHICAGO,60827,F,44,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",UNIVERSITY OF CHICAGO HOSPITAL,NONE,16,15,4,10
O1206078,2,10/15/2021 16:15,CHICAGO,60632,F,20,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED MEDICAL TREATMENT ON SCENE,NONE,16,15,4,10
O1205960,2,10/15/2021 16:50,CHICAGO,60644,M,56,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,16,15,4,10
O1205961,2,10/15/2021 16:50,CHICAGO,60645,M,50,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,16,15,4,10
O1206022,2,10/15/2021 17:05,CHICAGO,60630,M,59,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,MOUNT SINAI,FOLLOWED TOO CLOSELY,17,15,4,10
O1205974,2,10/15/2021 17:15,CHICAGO,60649,M,27,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,REFUSED,UNKNOWN,17,15,4,10
O1205975,2,10/15/2021 17:15,CHICAGO,60608,F,21,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,17,15,4,10
O1205993,2,10/15/2021 17:30,CHICAGO,60621,M,62,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED MEDICAL TREATMENT,OTHER,17,15,4,10
O1205994,2,10/15/2021 17:30,CHICAGO,60609,F,28,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED MEDICAL TREATMENT ON SCENE,NONE,17,15,4,10
O1207998,2,10/15/2021 18:28,CHICAGO,60615,M,27,DID NOT DEPLOY,NONINCAPACITATING INJURY,UNIVERSITY OF CHGO,UNKNOWN,18,15,4,10
O1206109,2,10/15/2021 18:50,CHICAGO,60608,M,32,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",NORWEGIAN,FAILED TO YIELD,18,15,4,10
O1206433,2,10/15/2021 18:55,CHICAGO,60638,F,46,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,NONE,18,15,4,10
O1206159,2,10/15/2021 18:58,CHICAGO,60639,M,21,"DEPLOYED, FRONT",NO INDICATION OF INJURY,ILLINOIS MASONIC,OTHER,18,15,4,10
O1206122,2,10/15/2021 19:01,CHICAGO,66025,M,87,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",SWEDISH COVENANT,NONE,19,15,4,10
O1206517,2,10/15/2021 19:03,CHICAGO,60617,M,53,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",UNIVERSITY OF CHICAGO HOSP,NONE,19,15,4,10
O1206103,2,10/15/2021 19:19,CHICAGO,60653,F,25,DID NOT DEPLOY,NONINCAPACITATING INJURY,ST. BERNARD,OTHER,19,15,4,10
O1206115,2,10/15/2021 19:19,CHICAGO,60613,M,51,"DEPLOYED, FRONT",NO INDICATION OF INJURY,NORTHWESTERN,UNKNOWN,19,15,4,10
O1206192,2,10/15/2021 22:25,CHICAGO,60628,F,34,DID NOT DEPLOY,NONINCAPACITATING INJURY,ROSELAND,NONE,22,15,4,10
O1206196,2,10/15/2021 23:00,CHICAGO,60617,M,57,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,23,15,4,10
O1206227,2,10/16/2021 0:10,CHICAGO,60651,M,28,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,RUSH HOSPITAL,NONE,0,16,5,10
O1206234,2,10/16/2021 1:18,CHICAGO,60620,M,34,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,LITTLE COMPANY OF MARY,NONE,1,16,5,10
O1206236,2,10/16/2021 1:18,CHICAGO,60609,F,53,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,NONE,NONE,1,16,5,10
